Entity,Tests,TestsPerMillion,Confirmed,Deaths,Population,Population60Plus,PopulationDensity,GDP,GDPPerCapita,PhysiciansPer1000,BedsPer10000,CTPerMillion,CO2PerCapita,PopulationMedianAge,Obesity,Smoking,RaisedBloodPressure,GeographicRegion,Fatality,PhysicianOverload,BedOverload,CTOverload
Armenia,813.0,276.7,84.0,0.0,2.9577,17.9115,103.8894,11537.0,3937.0,2.9,37.0,3.02,1.8,32.3,23.4,22.85,39.3,Western Asia,0.0,9.793257342319814,0.7675796295331746,9.404121288982601
Australia,113615.0,4473.4,791.0,7.0,25.2032,21.4395,3.2807,1408676.0,57613.0,3.6,38.0,,15.3,37.08,25.1,10.75,18.2,Australia and New Zealand,0.008849557522123894,8.718028751199142,0.8259185132714977,
Austria,15613.0,1777.8,2388.0,6.0,8.9551,25.3214,108.6666,416836.0,47718.0,5.1,77.0,28.49,6.9,42.4,18.3,30.95,24.3,Western Europe,0.002512562814070352,52.28699781327367,3.4631647902298144,9.359904838458958
Bahrain,18645.0,10982.1,285.0,1.0,1.6412,5.1096,2159.4368,35326.0,23668.0,0.9,18.0,,23.0,30.07,32.6,48.45,33.9,Western Asia,0.0035087719298245615,192.94824924851733,9.647412462425867,
Belarus,16000.0,1699.3,36.0,0.0,9.4524,22.185,46.5843,54441.0,5750.0,4.1,111.0,6.2,6.7,39.15,23.4,23.4,38.2,Eastern Europe,0.0,0.9289162334304567,0.03431132033391777,0.6142833156556246
Belgium,18360.0,1580.0,1486.0,14.0,11.5393,25.2634,381.0875,494764.0,43289.0,3.3,65.0,,8.3,41.41,19.1,20.0,20.7,Western Europe,0.009421265141318977,39.02342692390615,1.9811893669060046,
Brazil,2927.0,13.7,151.0,0.0,211.0495,13.5897,25.2508,2055512.0,9821.0,2.1,24.0,,2.6,29.89,19.5,11.65,32.7,Latin America and the Caribbean,0.0,0.3407009346374282,0.02981133178077497,
Colombia,4103.0,81.7,128.0,0.0,50.3394,12.7695,45.3713,309191.0,6302.0,2.1,10.0,,1.8,27.4,18.1,8.4,30.2,Latin America and the Caribbean,0.0,1.2108285150872071,0.2542739881683135,
Costa Rica,1039.0,206.0,69.0,1.0,5.0476,14.4913,98.8555,57565.0,11734.0,1.1,12.0,5.13,1.6,29.29,24.6,10.55,27.2,Latin America and the Caribbean,0.014492753623188406,12.42714809558458,1.139155242095253,2.664690624784218
Croatia,1264.0,307.1,105.0,1.0,4.1303,27.8954,73.8081,55201.0,13177.0,3.0,54.0,14.92,4.0,42.38,21.3,38.9,38.3,Southern Europe,0.009523809523809525,8.47396072924485,0.47077559606915825,1.7038795031993663
Czechia,11619.0,1092.7,833.0,0.0,10.6892,25.9381,138.3896,215825.0,20326.0,4.3,71.0,12.99,9.2,40.07,28.7,32.25,33.5,Eastern Europe,0.0,18.12305226140012,1.09759330597212,5.999162796306429
Denmark,10730.0,1851.0,1337.0,9.0,5.7719,25.8219,136.0329,329866.0,57533.0,4.5,35.0,23.85,5.9,40.95,16.2,10.15,21.0,Northern Europe,0.006731488406881077,51.475443287498244,6.618271279821203,9.712347790094007
Estonia,2504.0,1925.3,283.0,0.0,1.3256,26.5131,31.2727,25921.0,19793.0,3.5,54.0,15.54,14.8,40.78,18.9,28.950000000000006,39.7,Northern Europe,0.0,60.99663764117597,3.953485773039183,13.73798145071531
Finland,3000.0,537.6,400.0,0.0,5.5322,28.6043,18.2045,252247.0,45670.0,3.8,62.0,20.09,8.6,42.24,19.9,16.65,28.8,Northern Europe,0.0,19.027359440138977,1.1661929979440018,3.599002781111404
France,36747.0,559.1,4532.0,91.0,65.1297,26.4596,118.946,2582492.0,38415.0,3.2,69.0,,4.7,40.43,15.6,25.05,22.5,Western Europe,0.020079435127978818,21.74507175681755,1.0084670959683502,
Germany,167000.0,2023.3,5795.0,11.0,83.51700000000001,28.3472,239.6059,3693204.0,44976.0,4.2,82.0,,8.9,45.09,21.3,28.05,26.0,Western Europe,0.0018981880931837791,16.520731165653753,0.8461837914115338,
"China, Hong Kong SAR",5271.0,698.4,105.0,2.0,7.4362,25.1708,7082.0514,341659.0,46390.0,,,,6.4,,,,,Eastern Asia,0.01904761904761905,,,
Hungary,3007.0,312.5,85.0,3.0,9.6847,26.5522,106.9776,139761.0,14376.0,3.2,71.0,6.63,4.3,40.35,24.8,22.75,36.8,Eastern Europe,0.03529411764705882,2.742728220801883,0.12361591981078911,1.3237903931472137
Iceland,9189.0,26772.3,409.0,0.0,0.33899999999999997,21.0904,3.3819,24477.0,73060.0,4.0,58.0,39.45,6.1,35.3,21.9,10.95,20.1,Northern Europe,0.0,301.62241887905606,20.801546129590072,30.582754765937242
India,14514.0,10.5,244.0,5.0,1366.4178,9.8703,459.5797,2575667.0,1923.0,0.8,9.0,,1.7,26.07,1.9,7.75,22.9,Southern Asia,0.020491803278688523,0.22321137795482465,0.019841011373762193,
Indonesia,2028.0,7.4,369.0,32.0,270.6256,9.7169,149.3873,1015539.0,3847.0,0.4,6.0,,1.8,27.47,4.7,44.9,30.9,South-eastern Asia,0.08672086720867209,3.4087684239776275,0.2272512282651752,
Iran (Islamic Republic of),80000.0,957.1,12729.0,611.0,82.9139,9.9872,50.9127,460976.0,5680.0,1.1,17.0,,8.3,27.99,21.6,8.95,28.9,Southern Asia,0.048000628486134025,139.5642730810899,9.03062943465876,
Ireland,6600.0,1350.2,223.0,2.0,4.8825,19.2596,70.8738,331430.0,69604.0,3.1,49.0,4.54,7.3,34.94,24.5,17.9,27.7,Northern Europe,0.008968609865470852,14.733330029896104,0.9321086345444475,10.060203324378397
Israel,10864.0,1246.8,304.0,0.0,8.5194,16.3395,393.6866,353268.0,42452.0,3.2,35.0,7.5,8.1,30.1,25.5,29.5,19.6,Western Asia,0.0,11.151020024884382,1.019521830846572,4.75776854395067
Italy,206886.0,3498.7,47021.0,4032.0,60.5501,29.3835,205.8546,1943835.0,32747.0,4.1,36.0,,5.4,43.99,17.2,22.700000000000006,24.6,Southern Europe,0.08574892069500861,189.40574144990438,21.571209442905776,
Japan,14901.0,117.8,924.0,29.0,126.8603,34.0143,347.9867,4872415.0,38220.0,2.4,137.0,101.18,9.6,45.53,4.5,17.1,21.5,Eastern Asia,0.031385281385281384,3.0348343808110183,0.05316498185362368,0.07198658345469898
Kyrgyzstan,1545.0,245.2,0.0,0.0,6.4159,7.8433,33.4507,7565.0,1251.0,1.9,51.0,0.9,1.7,24.34,17.2,26.7,36.0,Central Asia,,0.0,0.0,0.0
Latvia,3205.0,1693.1,111.0,0.0,1.9067,27.1487,30.655,30463.0,15625.0,3.2,64.0,,3.5,41.44,22.0,34.25,38.3,Northern Europe,0.0,18.19242670582682,0.909621335291341,
Lithuania,1154.0,404.6,49.0,0.0,2.7596,26.8613,44.0314,47544.0,16450.0,4.3,68.0,20.22,4.4,39.09,24.7,27.3,39.8,Northern Europe,0.0,4.129348034935971,0.261120537503304,0.8781501755798552
Malaysia,13876.0,422.2,1030.0,3.0,31.9498,10.6166,97.2448,314707.0,9951.0,1.5,18.0,6.43,8.1,26.99,14.1,19.3,26.8,South-eastern Asia,0.002912621359223301,21.49204898517883,1.7910040820982358,5.013697274925077
Malta,889.0,2046.7,12.0,0.0,0.4404,27.6348,1376.1625,12553.0,29137.0,3.8,45.0,9.32,5.6,40.65,26.6,21.45,25.1,Southern Europe,0.0,7.170514842965725,0.6055101422948834,2.923600472453836
Mexico,278.0,2.1,7.0,0.0,127.5755,10.9519,65.627,1158229.0,8967.0,2.2,16.0,3.65,3.8,26.64,32.8,9.4,24.4,Latin America and the Caribbean,0.0,0.024940667932464945,0.00342934184071393,0.015032731356554216
Netherlands,6000.0,349.2,188.0,1.0,17.0971,26.0631,507.0323,830573.0,48754.0,3.5,47.0,12.23,9.9,41.47,16.2,20.5,23.2,Western Europe,0.005319148936170213,3.141719105245083,0.2339578057097402,0.899101951623695
New Zealand,584.0,120.8,12.0,0.0,4.7831,21.7338,18.1651,202044.0,42935.0,3.0,23.0,15.8,7.7,36.85,27.0,,18.9,Australia and New Zealand,0.0,0.8362777278334135,0.10907970363044524,0.15878691034811648
Norway,43735.0,8025.2,1914.0,7.0,5.3789,22.9632,14.7258,399470.0,75295.0,4.6,33.0,,9.2,38.88,19.8,14.55,28.0,Northern Europe,0.0036572622779519333,77.35539915628459,10.782873821785124,
Pakistan,1979.0,9.5,454.0,2.0,216.5653,6.6394,280.9326,302139.0,1534.0,1.0,6.0,0.33,0.9,22.23,5.9,23.95,28.4,Southern Asia,0.004405286343612335,2.096365391870258,0.3493942319783763,6.352622399606842
Panama,1455.0,339.2,86.0,1.0,4.2464,11.9273,57.1219,61838.0,15088.0,1.6,22.0,9.58,2.3,27.64,25.8,3.9,28.2,Latin America and the Caribbean,0.011627906976744186,12.657780708364731,0.9205658696992532,2.114034356303087
Philippines,1269.0,11.6,230.0,18.0,108.1166,8.341000000000001,362.6006,313595.0,2989.0,1.3,5.0,1.09,1.1,22.74,6.4,21.05,26.2,South-eastern Asia,0.0782608695652174,1.6364099215391246,0.4254665796001724,1.951681557798956
Poland,13072.0,344.5,425.0,5.0,37.8878,25.4113,123.7232,526212.0,13786.0,2.4,67.0,10.6,7.4,38.55,23.2,21.9,37.2,Eastern Europe,0.011764705882352941,4.67388798856976,0.16742285332190185,1.0582387898648513
Qatar,8400.0,3008.8,439.0,0.0,2.8321,3.2577,243.9334,167605.0,63506.0,0.0,12.0,8.3,49.7,31.64,33.1,,32.6,Western Asia,0.0,inf,12.91738756870638,18.675741063189943
Romania,8284.0,427.3,308.0,0.0,19.3646,25.6933,84.1315,211804.0,10763.0,2.3,66.0,5.44,3.6,39.09,17.7,24.950000000000006,36.0,Eastern Europe,0.0,6.915352936712398,0.24098957203694715,2.9237705430953147
