Entity,Tests,TestsPerMillion,Confirmed,Deaths,Population,Population60Plus,PopulationDensity,GDP,GDPPerCapita,PhysiciansPer1000,BedsPer10000,CTPerMillion,CO2PerCapita,PopulationMedianAge,Obesity,Smoking,RaisedBloodPressure,GeographicRegion,Fatality,PhysicianOverload,BedOverload,CTOverload
Armenia,2.910090545594068,2.442009159140952,1.9294189257142926,0.0,0.47095412133364856,17.9115,2.0165712380638907,4.062092892630169,3.5951654147902294,0.4623979978989561,1.568201724066995,0.48000694295715063,0.25527250510330607,32.3,23.4,22.85,39.3,Western Asia,0.0,0.9909271668292771,-0.11487655933876187,0.9733182217710824
Australia,5.055435672811419,3.650637733412055,2.8987251815894934,0.9030899869919435,1.4014556857859866,21.4395,0.515966518620907,6.148811115470652,4.760520490215653,0.5563025007672873,1.5797835966168101,,1.1846914308175989,37.08,25.1,10.75,18.2,Australia and New Zealand,0.008849557522123894,0.9404182969444027,-0.08306279890512018,
Austria,4.193486359709743,3.2498829018636948,3.378216149749878,0.8450980400142568,0.9520704399009303,25.3214,2.0360960789098623,5.619965219711307,4.678682232836399,0.7075701760979364,1.8864907251724818,1.4546924492394768,0.8388490907372553,42.4,18.3,30.95,24.3,Western Europe,0.002512562814070352,1.718393706458465,0.5394731573839193,0.9712714333169243
Bahrain,4.270562387697326,4.040685393958175,2.456366033129043,0.3010299956639812,0.21516150829487504,5.1096,3.3343404981205387,4.548094464599433,4.374161560604974,-0.045757490560675115,1.255272505103306,,1.3617278360175928,30.07,32.6,48.45,33.9,Western Asia,0.0035087719298245615,2.28544084227431,0.9844108466103291,
Belarus,4.204119982655925,3.2302700574112047,1.568201724066995,0.0,0.9755420915169413,22.185,1.6682395739384765,4.735926093946675,3.7596678446896306,0.6127838567197355,2.0453229787866576,0.7923916894982539,0.8260748027008264,39.15,23.4,23.4,38.2,Eastern Europe,0.0,-0.03202344746938943,-1.4645625695363114,-0.21163128024790784
Belgium,4.2638726768652235,3.1986570869544226,3.172310968521954,1.1760912590556813,1.0621794643346179,25.2634,2.5810247037707095,5.694398091987526,4.636377553484719,0.5185139398778874,1.8129133566428555,,0.919078092376074,41.41,19.1,20.0,20.7,Western Europe,0.009421265141318977,1.5913254052120513,0.2969259884470831,
Brazil,3.466422722433792,1.1367205671564067,2.1818435879447726,0.0,2.324384327599178,13.5897,1.4022751420618766,6.312920016518252,3.9921557110426167,0.3222192947339193,1.380211241711606,,0.414973347970818,29.89,19.5,11.65,32.7,Latin America and the Caribbean,0.0,-0.4676266750399275,-1.5256186220176142,
Colombia,3.6131015169669127,1.9122220565324155,2.110589710299249,0.0,1.7019080348467885,12.7695,1.6567812230557026,5.490226843890454,3.799478398837981,0.3222192947339193,1.0,,0.25527250510330607,27.4,18.1,8.4,30.2,Latin America and the Caribbean,0.0,0.08308264006716053,-0.5946980651989202,
Costa Rica,3.016615547557177,2.3138672203691533,1.845098040014257,0.3010299956639812,0.7030849316806573,14.4913,1.9950008370609376,4.76015850899809,4.069446083880313,0.04139268515822508,1.0791812460476249,0.7101173651118162,0.2041199826559248,29.29,24.6,10.55,27.2,Latin America and the Caribbean,0.014492753623188406,1.094371473898373,0.056582913008973175,0.4256467939447818
Croatia,3.1017470739463664,2.4872798164430687,2.0253058652647704,0.3010299956639812,0.6159815973253545,27.8954,1.8681040256749162,4.741946945311592,4.119816545937216,0.47712125471966244,1.7323937598229686,1.17376882313665,0.6020599913279624,42.38,21.3,38.9,38.3,Southern Europe,0.009523809523809525,0.9280864470249212,-0.32718605807838497,0.23143887860793352
Czechia,4.0651687517057455,3.0385009430766745,2.921166050637739,0.0,1.0289452030023638,25.9381,2.141103454049052,5.334101749583195,4.308051921242662,0.6334684555795865,1.8512583487190752,1.113609151073028,0.9637878273455552,40.07,28.7,32.25,33.5,Eastern Europe,0.0,1.2582313428248373,0.04044144968534848,0.7780906473313959
Denmark,4.0305997219659515,3.267406418752904,3.1264561134318045,1.0,0.7613187981968546,25.8219,2.133643956609047,5.518337554183292,4.75991702046173,0.6532125137753437,1.5440680443502757,1.3774883833761327,0.7708520116421442,40.95,16.2,10.15,21.0,Northern Europe,0.006731488406881077,1.711600095289786,0.8207445647148541,0.987324225688997
Estonia,3.398634324538392,3.284498410828045,2.4533183400470375,0.0,0.1224124954112803,26.5131,1.4951653786679522,4.413651752063699,4.296511624661298,0.5440680443502757,1.7323937598229686,1.1914510144648955,1.1702617153949575,40.78,18.9,28.950000000000006,39.7,Northern Europe,0.0,1.7853058957627344,0.5969801802900414,1.1379229256481145
Finland,3.4771212547196626,2.7304592600457687,2.603144372620182,0.0,0.7428978723277829,28.6043,1.2601787552159676,5.401826009829886,4.659631011607001,0.5797835966168101,1.792391689498254,1.302979936748249,0.9344984512435677,42.24,19.9,16.65,28.8,Northern Europe,0.0,1.2793785223833694,0.0667704295019256,0.5561821822519303
France,4.565221889362322,2.747489492258673,3.656385719058688,1.9637878273455553,1.8137790777342753,26.4596,2.075349841857633,6.412038984843648,4.584500837524111,0.505149978319906,1.8388490907372552,,0.6720978579357175,40.43,15.6,25.05,22.5,Western Europe,0.020079435127978818,1.3373608451371783,0.0036617327198289465,
Germany,5.222716471147583,3.3060602815275995,3.763128376799137,1.0791812460476249,1.9217748857198997,28.3472,2.379497507815336,6.567403297260345,4.652980828263366,0.6232492903979004,1.9138138523837167,,0.9493900066449128,45.09,21.3,28.05,26.0,Western Europe,0.0018981880931837791,1.2180292641818147,-0.07253529780400154,
"China, Hong Kong SAR",3.7218930162149575,2.8441042306975133,2.0253058652647704,0.47712125471966244,0.8713510618056591,25.1708,3.850159074449113,5.533592865418301,4.66642437251876,,,,0.8061799739838872,,,,,Eastern Asia,0.01904761904761905,,,
Hungary,3.4781334281005174,2.494850021680094,1.9344984512435677,0.6020599913279624,0.9860861722556974,26.5522,2.0292928504439454,5.1453859993942235,4.157638064100917,0.505149978319906,1.8512583487190752,0.8215135284047731,0.6334684555795865,40.35,24.8,22.75,36.8,Eastern Europe,0.03529411764705882,0.43818277513868936,-0.9079255952604799,0.12181922505382223
Iceland,3.963268251526235,4.427685682894087,2.6127838567197355,0.0,-0.4698003017969179,21.0904,0.5291607617211344,4.388758187849104,4.863679667875898,0.6020599913279624,1.7634279935629373,1.5960470075454392,0.785329835010767,35.3,21.9,10.95,20.1,Northern Europe,0.0,2.4794636184762973,1.3180956162413224,1.4854766022588206
India,4.161787118745523,1.021189299069938,2.3891660843645326,0.7781512503836436,3.1355835108328005,9.8703,2.662360837308048,6.410889713730161,3.28397928423848,-0.09691001300805639,0.9542425094393249,,0.2304489213782739,26.07,1.9,7.75,22.9,Southern Asia,0.020491803278688523,-0.6512836714860145,-1.7024361939333958,
