Entity,Confirmed cases,Deaths,Days since confirmed cases >= 100,Population in 2019 (millions),Population aged 60+ years old (percentage),Population density in 2019,GDP in 2017 (millions of US dollars),GDP per capita in 2017 (US dollars),Physicians (per 1000 population),Hospital beds per 10000 population,CT units per million population,CO2 emissions per capita,Population median age,Adults aged >= 20 years who are obese (%),Prevalence of smoking,Raised blood pressure,Geographic region
Afghanistan,120,4,3,38.0418,4.1655,58.2694,21993.0,619.0,0.3,4.0,0.2,0.3,16.2,2.4,,27.6,Southern Asia
Albania,212,10,7,2.8809,20.4779,105.143,13039.0,4450.0,1.2,28.0,5.36,2.0,32.56,21.1,27.049999999999997,35.4,Southern Europe
Algeria,511,31,9,43.0531,9.6817,18.0763,167555.0,4055.0,1.8,17.0,,3.7,26.62,17.5,,33.6,Northern Africa
Andorra,334,6,8,0.0771,19.0387,164.1319,3013.0,39153.0,3.3,25.0,,6.4,,24.2,30.2,23.2,Southern Europe
Argentina,745,19,10,44.7807,15.3941,16.3631,637486.0,14400.0,4.0,45.0,,4.7,30.83,29.4,17.7,24.1,Latin America and the Caribbean
Armenia,424,3,11,2.9577,17.9115,103.8894,11537.0,3937.0,2.9,37.0,3.02,1.8,32.3,23.4,22.85,39.3,Western Asia
Austria,8788,86,22,8.9551,25.3214,108.6666,416836.0,47718.0,5.1,77.0,28.49,6.9,42.4,18.3,30.95,24.3,Western Europe
Azerbaijan,209,4,4,10.0477,11.0734,121.5577,40749.0,4146.0,3.4,75.0,1.06,3.9,29.34,24.7,20.45,33.6,Western Asia
Bahrain,499,4,20,1.6412,5.1096,2159.4368,35326.0,23668.0,0.9,18.0,,23.0,30.07,32.6,48.449999999999996,33.9,Western Asia
Belgium,10836,431,24,11.5393,25.2634,381.0875,494764.0,43289.0,3.3,65.0,,8.3,41.41,19.1,20.0,20.7,Western Europe
Bosnia and Herzegovina,323,6,8,3.301,24.4739,64.7255,18169.0,5181.0,2.0,34.0,16.45,5.8,39.23,24.2,34.75,38.7,Southern Europe
Brazil,4256,136,17,211.0495,13.5897,25.2508,2055512.0,9821.0,2.1,24.0,,2.6,29.89,19.5,11.65,32.7,Latin America and the Caribbean
Brunei Darussalam,126,1,6,0.4333,8.9655,82.2173,12128.0,28291.0,1.8,26.0,7.18,21.8,30.14,7.9,16.35,20.5,South-eastern Asia
Bulgaria,346,8,10,7.0001,28.0121,64.4816,58222.0,8218.0,4.0,66.0,,5.9,42.84,21.4,28.400000000000002,35.5,Eastern Europe
Burkina Faso,222,12,6,20.3214,3.9008,74.274,12325.0,642.0,0.1,4.0,0.65,0.1,17.01,2.4,25.95,36.1,Sub-Saharan Africa
Cambodia,103,0,1,16.4865,7.3537,93.3976,22121.0,1382.0,0.2,,1.19,0.4,24.1,2.3,21.25,19.4,South-eastern Asia
Cameroon,139,6,1,25.8764,4.2955,54.7405,34924.0,1452.0,0.1,13.0,0.63,0.3,18.18,11.1,44.050000000000004,32.7,Sub-Saharan Africa
Chile,2139,7,14,18.952,16.9431,25.4892,277081.0,15347.0,1.1,21.0,12.6,4.7,32.76,29.1,33.650000000000006,33.3,Latin America and the Caribbean
"China, Hong Kong SAR",641,4,28,7.4362,25.1708,7082.0514,341659.0,46390.0,,,,6.4,,,,,Eastern Asia
Colombia,702,10,11,50.3394,12.7695,45.3713,309191.0,6302.0,2.1,10.0,,1.8,27.4,18.1,8.4,30.2,Latin America and the Caribbean
Costa Rica,314,2,9,5.0476,14.4913,98.8555,57565.0,11734.0,1.1,12.0,5.13,1.6,29.29,24.6,10.55,27.2,Latin America and the Caribbean
C�te d�Ivoire,165,1,3,25.7165,4.6718,80.8696,38055.0,1566.0,0.2,4.0,0.69,0.5,18.96,6.7,,38.8,Sub-Saharan Africa
Croatia,713,6,11,4.1303,27.8954,73.8081,55201.0,13177.0,3.0,54.0,14.92,4.0,42.38,21.3,38.9,38.3,Southern Europe
Cuba,139,3,2,11.3335,20.6811,106.4777,96851.0,8433.0,8.2,59.0,4.79,3.0,39.57,20.5,32.5,31.0,Latin America and the Caribbean
Cyprus,214,5,7,1.1986,19.3335,129.7159,22054.0,25790.0,2.0,38.0,25.41,5.2,34.88,23.4,,23.4,Western Asia
Czechia,2817,16,17,10.6892,25.9381,138.3896,215825.0,20326.0,4.3,71.0,12.99,9.2,40.07,28.7,32.25,33.5,Eastern Europe
Faroe Islands,159,0,8,0.0487,22.5111,34.8696,,,,,,12.4,,,,,Northern Europe
Denmark,2395,72,20,5.7719,25.8219,136.0329,329866.0,57533.0,4.5,35.0,23.85,5.9,40.95,16.2,10.149999999999999,21.0,Northern Europe
Dominican Republic,859,39,9,10.739,10.7919,222.2466,75932.0,7052.0,1.6,16.0,,2.1,25.53,21.9,12.350000000000001,32.5,Latin America and the Caribbean
Ecuador,1924,58,12,17.3737,10.7376,69.9535,104296.0,6273.0,2.1,15.0,1.59,2.8,25.83,22.0,6.75,28.1,Latin America and the Caribbean
Egypt,609,40,16,100.3881,8.1171,100.8469,195136.0,2000.0,0.8,17.0,,2.2,24.93,34.6,31.6,27.1,Northern Africa
Estonia,679,3,16,1.3256,26.5131,31.2727,25921.0,19793.0,3.5,54.0,15.54,14.8,40.78,18.9,28.950000000000003,39.7,Northern Europe
Finland,1240,11,17,5.5322,28.6043,18.2045,252247.0,45670.0,3.8,62.0,20.09,8.6,42.24,19.9,16.65,28.8,Northern Europe
Guadeloupe,106,4,2,0.4001,25.3527,245.7346,,,,,,5.5,,,,,Latin America and the Caribbean
R�union,183,0,5,0.8889,17.6108,355.5708,,,,,,4.9,,,,,Sub-Saharan Africa
France,40174,2606,30,65.1297,26.4596,118.946,2582492.0,38415.0,3.2,69.0,,4.7,40.43,15.6,25.049999999999997,22.5,Western Europe
Germany,62095,533,29,83.517,28.3472,239.6059,3693204.0,44976.0,4.2,82.0,,8.9,45.09,21.3,28.05,26.0,Western Europe
Ghana,152,5,4,30.4179,5.1552,133.6814,58996.0,2046.0,0.2,9.0,0.15,0.6,20.45,8.0,8.65,32.2,Sub-Saharan Africa
Greece,1156,38,17,10.4735,28.298,81.2526,203086.0,18198.0,4.6,48.0,33.16,6.1,42.47,17.5,38.0,22.5,Southern Europe
Honduras,110,3,1,9.7461,7.1751,87.1045,22979.0,2480.0,0.3,8.0,2.1,1.2,21.57,19.8,12.6,27.9,Latin America and the Caribbean
Hungary,408,13,9,9.6847,26.5522,106.9776,139761.0,14376.0,3.2,71.0,6.63,4.3,40.35,24.8,22.75,36.8,Eastern Europe
Iceland,1020,2,18,0.339,21.0904,3.3819,24477.0,73060.0,4.0,58.0,39.45,6.1,35.3,21.9,10.95,20.1,Northern Europe
India,1024,27,16,1366.4178,9.8703,459.5797,2575667.0,1923.0,0.8,9.0,,1.7,26.07,1.9,7.75,22.9,Southern Asia
Indonesia,1285,114,15,270.6256,9.7169,149.3873,1015539.0,3847.0,0.4,6.0,,1.8,27.47,4.7,44.9,30.9,South-eastern Asia
Iran (Islamic Republic of),38309,2640,33,82.9139,9.9872,50.9127,460976.0,5680.0,1.1,17.0,,8.3,27.99,21.6,8.95,28.9,Southern Asia
Iraq,547,42,17,39.3098,5.0917,90.5088,182024.0,4756.0,0.8,13.0,2.22,4.8,19.5,29.4,,29.4,Western Asia
