Entity,Confirmed,Deaths,DaysSince100,Population,Population60Plus,PopulationDensity,GDP,GDPPerCapita,PhysiciansPer1000,BedsPer10000,CTPerMillion,CO2PerCapita,PopulationMedianAge,Obesity,Smoking,RaisedBloodPressure,GeographicRegion,Fatality,PhysicianOverload,BedOverload,CTOverload
Afghanistan,120,4,3,38.0418,4.1655,58.2694,21993.0,619.0,0.3,4.0,0.2,0.3,16.2,2.4,,27.6,Southern Asia,0.03333333333333333,10.514749564952236,0.7886062173714177,15.772124347428353
Albania,212,10,7,2.8809,20.4779,105.14299999999999,13039.0,4450.0,1.2,28.0,5.36,2.0,32.56,21.1,27.05,35.4,Southern Europe,0.04716981132075472,61.32342902102353,2.6281469580438652,13.729125900229146
Algeria,511,31,9,43.0531,9.6817,18.0763,167555.0,4055.0,1.8,17.0,,3.7,26.62,17.5,,33.6,Northern Africa,0.060665362035225046,6.593924453497864,0.698180236252715,
Andorra,334,6,8,0.0771,19.0387,164.1319,3013.0,39153.0,3.3,25.0,,6.4,,24.2,30.2,23.2,Southern Europe,0.017964071856287425,1312.7382777188225,173.28145265888455,
Argentina,745,19,10,44.7807,15.3941,16.3631,637486.0,14400.0,4.0,45.0,,4.7,30.83,29.4,17.7,24.1,Latin America and the Caribbean,0.025503355704697986,4.159157851485126,0.3697029201320112,
Armenia,424,3,11,2.9577,17.9115,103.8894,11537.0,3937.0,2.9,37.0,3.02,1.8,32.3,23.4,22.85,39.3,Western Asia,0.007075471698113208,49.43263229932858,3.874449558596024,47.46842174438837
Austria,8788,86,22,8.9551,25.3214,108.6666,416836.0,47718.0,5.1,77.0,28.49,6.9,42.4,18.3,30.95,24.3,Western Europe,0.00978607191624943,192.41965526928354,12.74467846588761,34.44507693483138
Azerbaijan,209,4,4,10.0477,11.0734,121.5577,40749.0,4146.0,3.4,75.0,1.06,3.9,29.34,24.7,20.45,33.6,Western Asia,0.019138755980861243,6.117876552374585,0.2773437370409812,19.62337762082414
Bahrain,499,4,20,1.6412,5.1096,2159.4368,35326.0,23668.0,0.9,18.0,,23.0,30.07,32.6,48.45,33.9,Western Asia,0.008016032064128256,337.8286890351234,16.89143445175617,
Belgium,10836,431,24,11.5393,25.2634,381.0875,494764.0,43289.0,3.3,65.0,,8.3,41.41,19.1,20.0,20.7,Western Europe,0.039774824658545586,284.5611400723063,14.446950188286317,
