"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2013","0.2",""
"Afghanistan","2010","0.19",""
"Albania","2013","5.36",""
"Albania","2010","5.31",""
"Angola","2013","0.42",""
"Angola","2010","0.47",""
"Antigua and Barbuda","2013","22.23",""
"Antigua and Barbuda","2010","22.55",""
"Armenia","2013","3.02",""
"Armenia","2010","2.91",""
"Austria","2013","28.49","1"
"Austria","2010","28.83","1"
"Azerbaijan","2013","1.06","1"
"Azerbaijan","2010","1.09","1"
"Bahamas","2013","13.25",""
"Bahamas","2010","14.58",""
"Barbados","2013","7.03","1"
"Barbados","2010","7.32","1"
"Belarus","2013","6.2","1"
"Belarus","2010","6.04","1"
"Belize","2013","12.05",""
"Belize","2010","12.84",""
"Benin","2013","0.29",""
"Benin","2010","0.34",""
"Bhutan","2013","1.33",""
"Bhutan","2010","1.38",""
"Bosnia and Herzegovina","2013","16.45",""
"Bosnia and Herzegovina","2010","13.83",""
"Botswana","2013","0.99","1"
"Botswana","2010","1.00","1"
"Brunei Darussalam","2013","7.18",""
"Brunei Darussalam","2010","7.52",""
"Burkina Faso","2013","0.65",""
"Burkina Faso","2010","0.18",""
"Burundi","2013","0.2",""
"Burundi","2010","0.24",""
"Cabo Verde","2013","2",""
"Cabo Verde","2010","2.02",""
"Cambodia","2013","1.19",""
"Cambodia","2010","1.27",""
"Cameroon","2013","0.63",""
"Cameroon","2010","0.71",""
"Canada","2013","13.76",""
"Canada","2010","14.23",""
"Central African Republic","2013","0",""
"Central African Republic","2010","0.00",""
"Chad","2013","0.08","2"
"Chad","2010","0.09","2"
"Chile","2013","12.6",""
"Chile","2010","12.97",""
"Comoros","2013","1.36",""
"Comoros","2010","1.36",""
"Costa Rica","2013","5.13",""
"Costa Rica","2010","3.01",""
"Côte d’Ivoire","2013","0.69",""
"Côte d’Ivoire","2010","0.71",""
"Croatia","2013","14.92",""
"Croatia","2010","14.53",""
"Cuba","2013","4.79","1"
"Cuba","2010","4.80","1"
"Cyprus","2013","25.41",""
"Cyprus","2010","21.75",""
"Czech Republic","2013","12.99",""
"Czech Republic","2010","13.25",""
"Democratic Republic of the Congo","2013","0.07",""
"Democratic Republic of the Congo","2010","0.08",""
"Denmark","2013","23.85",""
"Denmark","2010","24.14",""
"Dominica","2013","13.89",""
"Dominica","2010","14.76",""
"Ecuador","2013","1.59","1"
"Ecuador","2010","1.73",""
"El Salvador","2013","4.73",""
