"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Afghanistan","2008","Male","1.5 [0.1-5.2]",""
"Afghanistan","2008","Female","3.3 [0.2-11.3]",""
"Afghanistan","2008","Both sexes","2.4 [0.4-6.7]",""
"Albania","2008","Both sexes","21.1 [13.5-28.8]",""
"Albania","2008","Female","20.5 [9.6-32.3]",""
"Albania","2008","Male","21.7 [11.9-31.5]",""
"Algeria","2008","Male","10.7 [6.5-16.4]",""
"Algeria","2008","Female","24.3 [15.6-33.0]",""
"Algeria","2008","Both sexes","17.5 [12.5-22.6]",""
"Andorra","2008","Both sexes","24.2 [14.3-34.6]",""
"Andorra","2008","Female","22.6 [8.1-38.7]",""
"Andorra","2008","Male","25.7 [12.9-39.0]",""
"Angola","2008","Male","3.8 [0.5-10.8]",""
"Angola","2008","Female","10.2 [1.4-25.9]",""
"Angola","2008","Both sexes","7.2 [1.9-16.0]",""
"Antigua and Barbuda","2008","Both sexes","25.8 [14.7-37.4]",""
"Antigua and Barbuda","2008","Female","33.1 [14.5-50.4]",""
"Antigua and Barbuda","2008","Male","18.1 [6.8-32.0]",""
"Argentina","2008","Male","27.4 [20.4-35.0]",""
"Argentina","2008","Female","31.0 [22.5-39.8]",""
"Argentina","2008","Both sexes","29.4 [23.9-35.1]",""
"Armenia","2008","Both sexes","23.4 [19.3-27.9]",""
"Armenia","2008","Female","30.2 [24.0-36.8]",""
"Armenia","2008","Male","14.4 [9.8-19.6]",""
"Australia","2008","Male","25.2 [22.1-28.4]",""
"Australia","2008","Female","24.9 [21.0-28.9]",""
"Australia","2008","Both sexes","25.1 [22.5-27.6]",""
"Austria","2008","Both sexes","18.3 [11.0-26.1]",""
"Austria","2008","Female","17.1 [6.5-29.2]",""
"Austria","2008","Male","19.2 [9.8-28.9]",""
"Azerbaijan","2008","Male","15.8 [11.5-20.4]",""
"Azerbaijan","2008","Female","32.1 [25.8-38.3]",""
"Azerbaijan","2008","Both sexes","24.7 [20.5-28.8]",""
"Bahamas","2008","Both sexes","35.0 [23.9-46.7]",""
"Bahamas","2008","Female","42.6 [25.1-59.9]",""
"Bahamas","2008","Male","26.7 [12.8-41.1]",""
"Bahrain","2008","Male","28.9 [21.3-36.4]",""
"Bahrain","2008","Female","38.2 [29.1-47.5]",""
"Bahrain","2008","Both sexes","32.6 [26.8-38.3]",""
"Bangladesh","2008","Both sexes","1.1 [0.6-1.9]",""
"Bangladesh","2008","Female","1.3 [0.8-2.2]",""
"Bangladesh","2008","Male","1.0 [0.3-2.4]",""
"Barbados","2008","Male","21.6 [11.7-31.5]",""
"Barbados","2008","Female","44.2 [30.9-57.0]",""
"Barbados","2008","Both sexes","33.4 [25.1-41.6]",""
"Belarus","2008","Both sexes","23.4 [12.0-35.0]",""
"Belarus","2008","Female","26.4 [9.3-44.7]",""
"Belarus","2008","Male","19.7 [7.4-34.4]",""
