"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Afghanistan","2008","Male","27.2 [14.7-41.5]",""
"Afghanistan","2008","Female","27.9 [15.0-41.6]",""
"Afghanistan","2008","Both sexes","27.6 [18.6-37.3]",""
"Afghanistan","2008","Male","27.2 [14.7-41.5]","1"
"Afghanistan","2008","Female","27.9 [15.0-41.6]","1"
"Afghanistan","2008","Both sexes","27.6 [18.6-37.3]","1"
"Albania","2008","Both sexes","35.4 [26.5-44.6]",""
"Albania","2008","Female","31.7 [20.1-44.6]",""
"Albania","2008","Male","39.3 [25.7-53.2]",""
"Albania","2008","Both sexes","35.4 [26.5-44.6]",""
"Albania","2008","Female","31.7 [20.1-44.6]",""
"Albania","2008","Male","39.3 [25.7-53.2]",""
"Algeria","2008","Male","33.9 [23.5-45.6]",""
"Algeria","2008","Female","33.2 [22.6-44.1]",""
"Algeria","2008","Both sexes","33.6 [25.9-41.5]",""
"Algeria","2008","Male","33.9 [23.5-45.6]",""
"Algeria","2008","Female","33.2 [22.6-44.1]",""
"Algeria","2008","Both sexes","33.6 [25.9-41.5]",""
"Andorra","2008","Both sexes","23.2 [15.6-31.6]","1"
"Andorra","2008","Female","17.5 [8.8-28.8]","1"
"Andorra","2008","Male","29.2 [17.5-42.2]","1"
"Andorra","2008","Both sexes","23.2 [15.6-31.6]",""
"Andorra","2008","Female","17.5 [8.8-28.8]",""
"Andorra","2008","Male","29.2 [17.5-42.2]",""
"Angola","2008","Male","39.6 [24.5-54.5]",""
"Angola","2008","Female","33.8 [20.1-47.4]",""
"Angola","2008","Both sexes","36.7 [26.3-46.6]",""
"Angola","2008","Male","39.6 [24.5-54.5]","1"
"Angola","2008","Female","33.8 [20.1-47.4]","1"
"Angola","2008","Both sexes","36.7 [26.3-46.6]","1"
"Antigua and Barbuda","2008","Both sexes","32.9 [23.3-42.6]","1"
"Antigua and Barbuda","2008","Female","27.5 [15.1-41.3]","1"
"Antigua and Barbuda","2008","Male","38.5 [23.9-53.2]","1"
"Antigua and Barbuda","2008","Both sexes","32.9 [23.3-42.6]",""
"Antigua and Barbuda","2008","Female","27.5 [15.1-41.3]",""
"Antigua and Barbuda","2008","Male","38.5 [23.9-53.2]",""
"Argentina","2008","Male","31.0 [18.5-45.4]",""
"Argentina","2008","Female","17.9 [9.4-29.9]",""
"Argentina","2008","Both sexes","24.1 [16.1-32.8]",""
"Argentina","2008","Male","31.0 [18.5-45.4]",""
"Argentina","2008","Female","17.9 [9.4-29.9]",""
"Argentina","2008","Both sexes","24.1 [16.1-32.8]",""
"Armenia","2008","Both sexes","39.3 [32.3-46.1]",""
"Armenia","2008","Female","37.0 [28.0-46.0]",""
"Armenia","2008","Male","42.1 [31.5-52.8]",""
"Armenia","2008","Both sexes","39.3 [32.3-46.1]",""
"Armenia","2008","Female","37.0 [28.0-46.0]",""
"Armenia","2008","Male","42.1 [31.5-52.8]",""
"Australia","2008","Male","22.8 [15.0-31.0]",""
"Australia","2008","Female","13.7 [8.7-19.4]",""
"Australia","2008","Both sexes","18.2 [13.7-23.3]",""
"Australia","2008","Male","22.8 [15.0-31.0]",""
"Australia","2008","Female","13.7 [8.7-19.4]",""
"Australia","2008","Both sexes","18.2 [13.7-23.3]",""
"Austria","2008","Both sexes","24.3 [17.0-32.5]",""
"Austria","2008","Female","19.8 [11.1-30.7]",""
"Austria","2008","Male","28.7 [17.7-41.2]",""
"Austria","2008","Both sexes","24.3 [17.0-32.5]",""
"Austria","2008","Female","19.8 [11.1-30.7]",""
"Austria","2008","Male","28.7 [17.7-41.2]",""
"Azerbaijan","2008","Male","36.6 [26.9-46.6]",""
"Azerbaijan","2008","Female","30.9 [22.4-39.6]",""
"Azerbaijan","2008","Both sexes","33.6 [27.2-40.2]",""
"Azerbaijan","2008","Male","36.6 [26.9-46.6]",""
"Azerbaijan","2008","Female","30.9 [22.4-39.6]",""
"Azerbaijan","2008","Both sexes","33.6 [27.2-40.2]",""
"Bahamas","2008","Both sexes","31.3 [22.3-40.7]","1"
"Bahamas","2008","Female","25.6 [14.2-38.4]","1"
"Bahamas","2008","Male","37.6 [23.7-52.2]","1"
"Bahamas","2008","Both sexes","31.3 [22.3-40.7]",""
"Bahamas","2008","Female","25.6 [14.2-38.4]",""
"Bahamas","2008","Male","37.6 [23.7-52.2]",""
"Bahrain","2008","Male","34.5 [22.7-46.9]",""
"Bahrain","2008","Female","32.9 [21.9-44.4]",""
"Bahrain","2008","Both sexes","33.9 [25.7-42.8]",""
"Bahrain","2008","Male","34.5 [22.7-46.9]",""
"Bahrain","2008","Female","32.9 [21.9-44.4]",""
"Bahrain","2008","Both sexes","33.9 [25.7-42.8]",""
"Bangladesh","2008","Both sexes","27.7 [18.8-37.6]","1"
"Bangladesh","2008","Female","27.9 [15.7-41.4]","1"
"Bangladesh","2008","Male","27.4 [14.8-41.9]","1"
"Bangladesh","2008","Both sexes","27.7 [18.8-37.6]",""
"Bangladesh","2008","Female","27.9 [15.7-41.4]",""
"Bangladesh","2008","Male","27.4 [14.8-41.9]",""
"Barbados","2008","Male","35.4 [23.9-47.7]",""
"Barbados","2008","Female","29.1 [19.6-39.5]",""
"Barbados","2008","Both sexes","32.2 [24.8-40.3]",""
"Barbados","2008","Male","35.4 [23.9-47.7]",""
"Barbados","2008","Female","29.1 [19.6-39.5]",""
"Barbados","2008","Both sexes","32.2 [24.8-40.3]",""
"Belarus","2008","Both sexes","38.2 [28.3-48.3]",""
"Belarus","2008","Female","32.9 [19.6-46.9]",""
"Belarus","2008","Male","44.3 [30.5-58.4]",""
"Belarus","2008","Both sexes","38.2 [28.3-48.3]",""
"Belarus","2008","Female","32.9 [19.6-46.9]",""
"Belarus","2008","Male","44.3 [30.5-58.4]",""
"Belgium","2008","Male","24.6 [15.7-35.4]",""
"Belgium","2008","Female","16.8 [9.8-26.4]",""
"Belgium","2008","Both sexes","20.7 [15.0-27.4]",""
"Belgium","2008","Male","24.6 [15.7-35.4]",""
"Belgium","2008","Female","16.8 [9.8-26.4]",""
