"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Afghanistan","2010","Male","13.1",""
"Afghanistan","2010","Female","3.2",""
"Afghanistan","2010","Both sexes","9.8",""
"Afghanistan","2008","Male","13.1",""
"Afghanistan","2008","Both sexes","9.8",""
"Afghanistan","2008","Female","3.2",""
"Albania","2010","Both sexes","11.8",""
"Albania","2010","Female","6.7",""
"Albania","2010","Male","17.6",""
"Albania","2008","Female","9.4",""
"Albania","2008","Male","17.3",""
"Albania","2008","Both sexes","13",""
"Algeria","2010","Male","25.5",""
"Algeria","2010","Female","5.7",""
"Algeria","2010","Both sexes","13.8",""
"Algeria","2008","Male","25.5",""
"Algeria","2008","Female","5.7",""
"Algeria","2008","Both sexes","13.8",""
"Andorra","2010","Both sexes","-",""
"Andorra","2010","Female","-",""
"Andorra","2010","Male","-",""
"Angola","2010","Male","-",""
"Angola","2010","Female","-",""
"Angola","2010","Both sexes","-",""
"Antigua and Barbuda","2010","Both sexes","20.1",""
"Antigua and Barbuda","2010","Female","15.9",""
"Antigua and Barbuda","2010","Male","24.3",""
"Antigua and Barbuda","2008","Both sexes","14.1",""
"Antigua and Barbuda","2008","Female","12.5",""
"Antigua and Barbuda","2008","Male","15.1",""
"Argentina","2010","Male","26.1",""
"Argentina","2010","Female","29.7",""
"Argentina","2010","Both sexes","28",""
"Argentina","2008","Both sexes","28",""
"Argentina","2008","Female","29.7",""
"Argentina","2008","Male","26.1",""
"Armenia","2010","Both sexes","7.3",""
"Armenia","2010","Female","4.3",""
"Armenia","2010","Male","10.9",""
"Armenia","2008","Female","2.7",""
"Armenia","2008","Male","13",""
"Armenia","2008","Both sexes","7.3",""
"Australia","2010","Male","-",""
"Australia","2010","Female","-",""
"Australia","2010","Both sexes","-",""
"Austria","2010","Both sexes","-",""
"Austria","2010","Female","-",""
"Austria","2010","Male","-",""
"Azerbaijan","2010","Male","-",""
"Azerbaijan","2010","Female","-",""
"Azerbaijan","2010","Both sexes","-",""
"Bahamas","2010","Both sexes","16.4",""
"Bahamas","2010","Female","15.1",""
"Bahamas","2010","Male","17.8",""
"Bahamas","2008","Male","12.9",""
"Bahamas","2008","Both sexes","11.9",""
"Bahamas","2008","Female","10.2",""
"Bahrain","2010","Male","28",""
"Bahrain","2010","Female","11.7",""
"Bahrain","2010","Both sexes","19.9",""
"Bahrain","2008","Both sexes","19.9",""
"Bahrain","2008","Female","11.7",""
"Bahrain","2008","Male","28",""
"Bangladesh","2010","Both sexes","6.9",""
"Bangladesh","2010","Female","5.1",""
"Bangladesh","2010","Male","9.1",""
"Bangladesh","2008","Female","5.1",""
"Bangladesh","2008","Male","9.1",""
"Bangladesh","2008","Both sexes","6.9",""
"Barbados","2010","Male","34.5",""
"Barbados","2010","Female","23.2",""
"Barbados","2010","Both sexes","28.6",""
"Barbados","2008","Female","23.2",""
"Barbados","2008","Male","34.5",""
"Barbados","2008","Both sexes","28.6",""
"Belarus","2010","Both sexes","26.9",""
"Belarus","2010","Female","22.2",""
"Belarus","2010","Male","31.6",""
"Belarus","2008","Both sexes","26.9",""
"Belarus","2008","Female","22.2",""
"Belarus","2008","Male","31.6",""
"Belgium","2010","Male","-",""
"Belgium","2010","Female","-",""
"Belgium","2010","Both sexes","-",""
"Belize","2010","Both sexes","18.3",""
"Belize","2010","Female","15.3",""
"Belize","2010","Male","21.8",""
"Belize","2008","Male","21.8",""
"Belize","2008","Both sexes","18.3",""
"Belize","2008","Female","15.3",""
"Benin","2010","Male","14.6",""
"Benin","2010","Female","5.8",""
"Benin","2010","Both sexes","11",""
"Benin","2008","Both sexes","11",""
"Benin","2008","Male","14.6",""
"Benin","2008","Female","5.8",""
"Bhutan","2010","Both sexes","18.8",""
"Bhutan","2010","Female","11.6",""
"Bhutan","2010","Male","27.6",""
"Bhutan","2008","Both sexes","20.2",""
"Bhutan","2008","Male","28.6",""
"Bhutan","2008","Female","12.4",""
"Bolivia (Plurinational State of)","2010","Male","24.7",""
"Bolivia (Plurinational State of)","2010","Female","16.6",""
"Bolivia (Plurinational State of)","2010","Both sexes","20.8",""
"Bolivia (Plurinational State of)","2008","Female","16.6",""
"Bolivia (Plurinational State of)","2008","Male","24.7",""
"Bolivia (Plurinational State of)","2008","Both sexes","20.8",""
"Bosnia and Herzegovina","2010","Both sexes","13.3",""
"Bosnia and Herzegovina","2010","Female","10.5",""
"Bosnia and Herzegovina","2010","Male","16.3",""
"Bosnia and Herzegovina","2008","Female","12.1",""
"Bosnia and Herzegovina","2008","Male","19.4",""
"Bosnia and Herzegovina","2008","Both sexes","15.7",""
"Botswana","2010","Male","27",""
"Botswana","2010","Female","20.5",""
"Botswana","2010","Both sexes","23.6",""
"Botswana","2008","Both sexes","23.6",""
"Botswana","2008","Male","27",""
"Botswana","2008","Female","20.5",""
"Brazil","2010","Both sexes","30.1",""
"Brazil","2010","Female","30.8",""
"Brazil","2010","Male","28.7",""
"Brazil","2008","Both sexes","17.2",""
"Brazil","2008","Male","17.2",""
"Brazil","2008","Female","15.7",""
"Brunei Darussalam","2010","Male","-",""
"Brunei Darussalam","2010","Female","-",""
"Brunei Darussalam","2010","Both sexes","-",""
"Bulgaria","2010","Both sexes","29.3",""
"Bulgaria","2010","Female","31.8",""
"Bulgaria","2010","Male","26.4",""
"Bulgaria","2008","Both sexes","29.3",""
"Bulgaria","2008","Female","31.8",""
"Bulgaria","2008","Male","26.4",""
"Burkina Faso","2010","Male","22.6",""
"Burkina Faso","2010","Female","11.5",""
"Burkina Faso","2010","Both sexes","16.8",""
"Burkina Faso","2008","Male","19.9",""
"Burkina Faso","2008","Female","6.7",""
"Burkina Faso","2008","Both sexes","13.6",""
"Burundi","2010","Both sexes","19.3",""
"Burundi","2010","Female","16.8",""
"Burundi","2010","Male","20.7",""
"Burundi","2008","Male","20.7",""
"Burundi","2008","Both sexes","19.3",""
"Burundi","2008","Female","16.8",""
"Cabo Verde","2010","Both sexes","13.4",""
"Cabo Verde","2010","Male","14.7",""
"Cabo Verde","2010","Female","11.7",""
"Cabo Verde","2008","Female","11.7",""
"Cabo Verde","2008","Both sexes","13.4",""
"Cabo Verde","2008","Male","14.7",""
"Cambodia","2010","Male","7.2",""
"Cambodia","2010","Female","3",""
"Cambodia","2010","Both sexes","5.1",""
"Cambodia","2008","Female","3",""
"Cambodia","2008","Both sexes","5.1",""
"Cambodia","2008","Male","7.2",""
"Cameroon","2010","Both sexes","10.9",""
"Cameroon","2010","Female","8.2",""
"Cameroon","2010","Male","14",""
"Cameroon","2008","Both sexes","13.4",""
"Cameroon","2008","Male","17.3",""
"Cameroon","2008","Female","9.7",""
"Canada","2010","Male","-",""
"Canada","2010","Female","-",""
"Canada","2010","Both sexes","-",""
"Central African Republic","2010","Both sexes","32.4",""
"Central African Republic","2010","Female","34.5",""
"Central African Republic","2010","Male","29.5",""
"Central African Republic","2008","Male","29.5",""
"Central African Republic","2008","Female","34.5",""
"Central African Republic","2008","Both sexes","32.4",""
"Chad","2010","Male","20.9",""
"Chad","2010","Female","13.9",""
"Chad","2010","Both sexes","18.9",""
"Chad","2008","Male","20.9",""
"Chad","2008","Female","13.9",""
"Chad","2008","Both sexes","18.9",""
"Chile","2010","Female","39.8",""
"Chile","2010","Male","29.8",""
"Chile","2010","Both sexes","35.1",""
"Chile","2008","Both sexes","35.1",""
"Chile","2008","Male","29.8",""
"Chile","2008","Female","39.8",""
"China","2010","Male","7.1",""
"China","2010","Female","4.1",""
"China","2010","Both sexes","5.5",""
"China","2008","Female","4.1",""
"China","2008","Both sexes","5.5",""
"China","2008","Male","7.1",""
"Colombia","2010","Female","27.8",""
"Colombia","2010","Male","27",""
"Colombia","2010","Both sexes","27.6",""
"Colombia","2008","Female","27.8",""
"Colombia","2008","Both sexes","27.6",""
"Colombia","2008","Male","27",""
"Comoros","2010","Male","21.8",""
"Comoros","2010","Female","14.8",""
"Comoros","2010","Both sexes","18.1",""
"Comoros","2008","Male","21.8",""
"Comoros","2008","Both sexes","18.1",""
"Comoros","2008","Female","14.8",""
"Congo","2010","Female","20.4",""
"Congo","2010","Male","27.6",""
"Congo","2010","Both sexes","24.3",""
"Congo","2008","Both sexes","23.8",""
"Congo","2008","Female","21.9",""
"Congo","2008","Male","26.1",""
"Cook Islands","2010","Male","33.7",""
"Cook Islands","2010","Female","36.3",""
"Cook Islands","2010","Both sexes","35.1",""
"Cook Islands","2008","Male","33.7",""
"Cook Islands","2008","Both sexes","35.1",""
"Cook Islands","2008","Female","36.3",""
"Costa Rica","2010","Female","13.1",""
"Costa Rica","2010","Male","15.9",""
"Costa Rica","2010","Both sexes","14.6",""
"Costa Rica","2008","Female","13.1",""
"Costa Rica","2008","Both sexes","14.6",""
"Costa Rica","2008","Male","15.9",""
"Côte d’Ivoire","2010","Male","26.3",""
"Côte d’Ivoire","2010","Female","10.9",""
"Côte d’Ivoire","2010","Both sexes","19.1",""
"Côte d’Ivoire","2008","Male","21.7",""
"Côte d’Ivoire","2008","Female","10.3",""
"Côte d’Ivoire","2008","Both sexes","16.5",""
"Croatia","2010","Both sexes","24.9",""
"Croatia","2010","Male","23.3",""
"Croatia","2010","Female","25.6",""
"Croatia","2008","Female","25.6",""
"Croatia","2008","Both sexes","24.9",""
"Croatia","2008","Male","23.3",""
"Cuba","2010","Female","15",""
"Cuba","2010","Male","19.8",""
"Cuba","2010","Both sexes","17.1",""
"Cuba","2008","Male","15.7",""
"Cuba","2008","Both sexes","14.6",""
"Cuba","2008","Female","13.6",""
"Cyprus","2010","Male","13.2",""
"Cyprus","2010","Female","8.4",""
"Cyprus","2010","Both sexes","10.9",""
"Cyprus","2008","Male","13.2",""
"Cyprus","2008","Female","8.4",""
"Cyprus","2008","Both sexes","10.9",""
"Czech Republic","2010","Female","34.1",""
"Czech Republic","2010","Male","35.8",""
"Czech Republic","2010","Both sexes","35",""
"Czech Republic","2008","Both sexes","35",""
"Czech Republic","2008","Male","35.8",""
"Czech Republic","2008","Female","34.1",""
"Democratic People's Republic of Korea","2010","Male","-",""
"Democratic People's Republic of Korea","2010","Female","-",""
"Democratic People's Republic of Korea","2010","Both sexes","-",""
"Democratic Republic of the Congo","2010","Both sexes","33.6",""
"Democratic Republic of the Congo","2010","Female","29.3",""
"Democratic Republic of the Congo","2010","Male","36.5",""
"Democratic Republic of the Congo","2008","Both sexes","33.6",""
"Democratic Republic of the Congo","2008","Female","29.3",""
"Democratic Republic of the Congo","2008","Male","36.5",""
"Denmark","2010","Male","-",""
"Denmark","2010","Female","-",""
"Denmark","2010","Both sexes","-",""
"Djibouti","2010","Both sexes","19",""
"Djibouti","2010","Female","14.3",""
"Djibouti","2010","Male","22.7",""
"Djibouti","2008","Female","10.7",""
"Djibouti","2008","Male","17.9",""
"Djibouti","2008","Both sexes","14.9",""
"Dominica","2010","Male","30.4",""
"Dominica","2010","Female","19.8",""
"Dominica","2010","Both sexes","25.3",""
"Dominica","2008","Male","19.3",""
"Dominica","2008","Female","13.5",""
"Dominica","2008","Both sexes","17.2",""
"Dominican Republic","2010","Female","11.9",""
"Dominican Republic","2010","Male","18.4",""
"Dominican Republic","2010","Both sexes","14.9",""
"Dominican Republic","2008","Both sexes","14.9",""
"Dominican Republic","2008","Female","11.9",""
"Dominican Republic","2008","Male","18.4",""
"Ecuador","2010","Male","31.2",""
"Ecuador","2010","Female","26.1",""
"Ecuador","2010","Both sexes","28.6",""
"Ecuador","2008","Female","26.1",""
"Ecuador","2008","Male","31.2",""
"Ecuador","2008","Both sexes","28.6",""
"Egypt","2010","Female","3.8",""
"Egypt","2010","Male","20",""
"Egypt","2010","Both sexes","12",""
"Egypt","2008","Male","16",""
"Egypt","2008","Female","7.6",""
"Egypt","2008","Both sexes","12.6",""
"El Salvador","2010","Male","18.2",""
"El Salvador","2010","Female","11",""
"El Salvador","2010","Both sexes","14.6",""
"El Salvador","2008","Male","24.4",""
"El Salvador","2008","Female","15.4",""
"El Salvador","2008","Both sexes","19",""
"Equatorial Guinea","2010","Female","17.3",""
"Equatorial Guinea","2010","Male","25.1",""
"Equatorial Guinea","2010","Both sexes","22.1",""
"Equatorial Guinea","2008","Both sexes","22.1",""
"Equatorial Guinea","2008","Female","17.3",""
"Equatorial Guinea","2008","Male","25.1",""
"Eritrea","2010","Male","7.8",""
"Eritrea","2010","Female","4.6",""
"Eritrea","2010","Both sexes","6.6",""
"Eritrea","2008","Female","4.6",""
"Eritrea","2008","Male","7.8",""
"Eritrea","2008","Both sexes","6.6",""
"Estonia","2010","Female","27.8",""
"Estonia","2010","Male","33.8",""
"Estonia","2010","Both sexes","30.8",""
"Estonia","2008","Female","27.8",""
"Estonia","2008","Both sexes","30.8",""
"Estonia","2008","Male","33.8",""
"Ethiopia","2010","Male","9.9",""
"Ethiopia","2010","Female","4.9",""
"Ethiopia","2010","Both sexes","7.9",""
"Ethiopia","2008","Both sexes","7.9",""
"Ethiopia","2008","Female","4.9",""
"Ethiopia","2008","Male","9.9",""
"Fiji","2010","Female","10.1",""
"Fiji","2010","Male","17.5",""
"Fiji","2010","Both sexes","13",""
"Fiji","2008","Female","10.2",""
"Fiji","2008","Male","11.6",""
"Fiji","2008","Both sexes","11.5",""
"Finland","2010","Male","-",""
"Finland","2010","Female","-",""
"Finland","2010","Both sexes","-",""
"France","2010","Both sexes","-",""
"France","2010","Female","-",""
"France","2010","Male","-",""
"Gabon","2010","Male","-",""
"Gabon","2010","Female","-",""
"Gabon","2010","Both sexes","-",""
"Gambia","2010","Both sexes","36.1",""
"Gambia","2010","Female","36.6",""
"Gambia","2010","Male","34",""
"Gambia","2008","Female","36.6",""
"Gambia","2008","Male","34",""
"Gambia","2008","Both sexes","36.1",""
"Georgia","2010","Male","15.2",""
"Georgia","2010","Female","2.8",""
"Georgia","2010","Both sexes","8.6",""
"Georgia","2008","Female","2.8",""
"Georgia","2008","Male","15.2",""
"Georgia","2008","Both sexes","8.6",""
"Germany","2010","Female","-",""
"Germany","2010","Male","-",""
"Germany","2010","Both sexes","-",""
"Ghana","2010","Both sexes","12.5",""
"Ghana","2010","Male","14.1",""
"Ghana","2010","Female","10.6",""
"Ghana","2008","Male","11.6",""
"Ghana","2008","Female","10.9",""
"Ghana","2008","Both sexes","11.7",""
"Greece","2010","Female","14.4",""
"Greece","2010","Male","17.1",""
"Greece","2010","Both sexes","16.2",""
"Greece","2008","Both sexes","16.2",""
"Greece","2008","Male","17.1",""
"Greece","2008","Female","14.4",""
"Grenada","2010","Male","24.5",""
"Grenada","2010","Female","16.7",""
"Grenada","2010","Both sexes","20.5",""
"Grenada","2008","Female","15.7",""
"Grenada","2008","Both sexes","16.7",""
"Grenada","2008","Male","17.6",""
"Guatemala","2010","Female","13.3",""
"Guatemala","2010","Male","19.7",""
"Guatemala","2010","Both sexes","16.6",""
"Guatemala","2008","Female","13.3",""
"Guatemala","2008","Both sexes","16.6",""
"Guatemala","2008","Male","19.7",""
"Guinea","2010","Male","30.8",""
"Guinea","2010","Female","20",""
"Guinea","2010","Both sexes","26.1",""
"Guinea","2008","Female","20",""
"Guinea","2008","Male","30.8",""
"Guinea","2008","Both sexes","26.1",""
"Guinea-Bissau","2010","Female","10.3",""
"Guinea-Bissau","2010","Male","11.5",""
"Guinea-Bissau","2010","Both sexes","10.9",""
"Guinea-Bissau","2008","Male","11.5",""
"Guinea-Bissau","2008","Both sexes","10.9",""
"Guinea-Bissau","2008","Female","10.3",""
"Guyana","2010","Male","25.3",""
"Guyana","2010","Female","16",""
"Guyana","2010","Both sexes","20.9",""
"Guyana","2008","Female","12.2",""
"Guyana","2008","Both sexes","14.9",""
"Guyana","2008","Male","17.6",""
"Haiti","2010","Female","23.9",""
"Haiti","2010","Male","21.7",""
"Haiti","2010","Both sexes","23.2",""
"Haiti","2008","Male","21.7",""
"Haiti","2008","Female","23.9",""
"Haiti","2008","Both sexes","23.2",""
"Honduras","2010","Male","22.8",""
"Honduras","2010","Female","18.2",""
