"AdministrativeDivision","Country","GeoPosition","ConfirmedCases","RecoveredCases","Deaths"
"Missing[""NotAvailable""]","Entity[""Country"", ""Italy""]","GeoPosition[{42.8333, 12.8333}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 20, 62, 155, 229, 322, 453, 655, 888, 1128, 1694, 2036, 2502, 3089, 3858, 4636, 5883, 7375, 9172, 10149, 12462, 12462, 17660, 21157, 24747, 27980, 31506, 35713, 41035, 47021, 53578, 59138, 63927, 69176, 74386, 80589, 86498, 92472, 97689}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 3, 45, 46, 46, 83, 149, 160, 276, 414, 523, 589, 622, 724, 724, 1045, 1045, 1439, 1966, 2335, 2749, 2941, 4025, 4440, 4440, 6072, 7024, 7432, 8326, 9362, 10361, 10950, 12384, 13030}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 7, 10, 12, 17, 21, 29, 34, 52, 79, 107, 148, 197, 233, 366, 463, 631, 827, 827, 1266, 1441, 1809, 2158, 2503, 2978, 3405, 4032, 4825, 5476, 6077, 6820, 7503, 8215, 9134, 10023, 10779}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""Spain""]","GeoPosition[{40., -4.}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 13, 15, 32, 45, 84, 120, 165, 222, 259, 400, 500, 673, 1073, 1695, 2277, 2277, 5232, 6391, 7798, 9942, 11748, 13910, 17963, 20410, 25374, 28768, 35136, 39885, 49515, 57786, 65719, 73235, 80110}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 30, 30, 32, 32, 183, 183, 193, 517, 517, 530, 1028, 1081, 1107, 1588, 2125, 2575, 3355, 3794, 5367, 7015, 9357, 12285, 14709}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 5, 10, 17, 28, 35, 54, 55, 133, 195, 289, 342, 533, 623, 830, 1043, 1375, 1772, 2311, 2808, 3647, 4365, 5138, 5982, 6803}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]"
"Entity[""AdministrativeDivision"", {""Hubei"", ""China""}]","Entity[""Country"", ""China""]","GeoPosition[{30.9756, 112.2707}]","TemporalData[TimeSeries, {{{444, 444, 549, 761, 1058, 1423, 3554, 3554, 4903, 5806, 7153, 11177, 13522, 16678, 19665, 22112, 24953, 27100, 29631, 31728, 33366, 33366, 48206, 54406, 56249, 58182, 59989, 61682, 62031, 62442, 62662, 64084, 64084, 64287, 64786, 65187, 65596, 65914, 66337, 66907, 67103, 67217, 67332, 67466, 67592, 67666, 67707, 67743, 67760, 67773, 67781, 67786, 67790, 67794, 67798, 67799, 67800, 67800, 67800, 67800, 67800, 67800, 67801, 67801, 67801, 67801, 67801, 67801}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{28, 28, 31, 32, 42, 45, 80, 88, 90, 141, 168, 295, 386, 522, 633, 817, 1115, 1439, 1795, 2222, 2639, 2686, 3459, 4774, 5623, 6639, 7862, 9128, 10337, 11788, 11881, 15299, 15343, 16748, 18971, 20969, 23383, 26403, 28993, 31536, 33934, 36208, 38557, 40592, 42033, 43500, 45235, 46488, 47743, 49134, 50318, 51553, 52960, 54288, 55142, 56003, 56927, 57682, 58382, 58946, 59433, 59882, 60324, 60811, 61201, 61732, 62098, 62570}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{17, 17, 24, 40, 52, 76, 125, 125, 162, 204, 249, 350, 414, 479, 549, 618, 699, 780, 871, 974, 1068, 1068, 1310, 1457, 1596, 1696, 1789, 1921, 2029, 2144, 2144, 2346, 2346, 2495, 2563, 2615, 2641, 2682, 2727, 2761, 2803, 2835, 2871, 2902, 2931, 2959, 2986, 3008, 3024, 3046, 3056, 3062, 3075, 3085, 3099, 3111, 3122, 3130, 3133, 3139, 3144, 3153, 3160, 3163, 3169, 3174, 3177, 3182}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""Germany""]","GeoPosition[{51., 9.}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 1, 4, 4, 4, 5, 8, 10, 12, 12, 12, 12, 13, 13, 14, 14, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 27, 46, 48, 79, 130, 159, 196, 262, 482, 670, 799, 1040, 1176, 1457, 1908, 2078, 3675, 4585, 5795, 7272, 9257, 12327, 15320, 19848, 22213, 24873, 29056, 32986, 37323, 43938, 50871, 57695, 62095}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 12, 12, 12, 14, 14, 14, 14, 14, 15, 16, 16, 16, 16, 16, 16, 16, 16, 17, 18, 18, 18, 18, 25, 25, 46, 46, 46, 67, 67, 105, 113, 180, 233, 266, 453, 3243, 3547, 5673, 6658, 8481, 9211}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 3, 7, 9, 11, 17, 24, 28, 44, 67, 84, 94, 123, 157, 206, 267, 342, 433, 533}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]"
"Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""Country"", ""UnitedStates""]","GeoPosition[{42.95693438016504, -75.52799848521127}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11, 23, 31, 76, 106, 142, 173, 220, 328, 421, 525, 732, 967, 1706, 2495, 5365, 8310, 11710, 15793, 20884, 25681, 30841, 37877, 44876, 52410, 59648}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 10, 13, 16, 34, 42, 60, 117, 158, 210, 285, 385, 527, 728, 965}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""France""]","GeoPosition[{46.2276, 2.2137}]","TemporalData[TimeSeries, {{{0, 0, 2, 3, 3, 3, 4, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 14, 18, 38, 57, 100, 130, 191, 204, 285, 377, 653, 949, 1126, 1209, 1784, 2281, 2281, 3661, 4469, 4499, 6633, 7652, 9043, 10871, 12612, 14282, 16018, 19856, 22304, 25233, 29155, 32964, 37575, 40174}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 2200, Missing[""NotAvailable""], 3281, 3900, 4948, 5700, 5700, 7202}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 4, 4, 6, 9, 11, 19, 19, 33, 48, 48, 79, 91, 91, 148, 148, 148, 243, 450, 562, 674, 860, 1100, 1331, 1696, 1995, 2314, 2606}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""Iran""]","GeoPosition[{32., 53.}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 18, 28, 43, 61, 95, 139, 245, 388, 593, 978, 1501, 2336, 2922, 3513, 4747, 5823, 6566, 7161, 8042, 9000, 10075, 11364, 12729, 13938, 14991, 16169, 17361, 18407, 19644, 20610, 21638, 23049, 24811, 27017, 29406, 32332, 35408, 38309}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 49, 73, 123, 175, 291, 291, 552, 739, 913, 1669, 2134, 2394, 2731, 2959, 2959, 2959, 2959, 4590, 4590, 5389, 5389, 5710, 6745, 7635, 7931, 8376, 8913, 9625, 10457, 11133, 11679, 12391}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 4, 5, 8, 12, 16, 19, 26, 34, 43, 54, 66, 77, 92, 107, 124, 145, 194, 237, 291, 354, 429, 514, 611, 724, 853, 988, 1135, 1284, 1433, 1556, 1685, 1812, 1934, 2077, 2234, 2378, 2517, 2640}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""UnitedKingdom""]","GeoPosition[{55.3781, -3.436}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 13, 13, 13, 15, 20, 23, 36, 40, 51, 85, 115, 163, 206, 273, 321, 382, 456, 456, 798, 1140, 1140, 1543, 1950, 2626, 2689, 3983, 5018, 5683, 6650, 8077, 9529, 11658, 14543, 17089, 19522}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 18, 18, 18, 18, 18, 18, 18, 18, 18, 20, 52, 65, 65, 65, 65, 65, 135, 135, 135, 135, 135, 135, 135}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 3, 4, 6, 8, 8, 8, 21, 21, 55, 55, 71, 137, 177, 233, 281, 335, 422, 465, 578, 759, 1019, 1228}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""Switzerland""]","GeoPosition[{47., 8.}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8, 8, 18, 27, 42, 56, 90, 114, 214, 268, 337, 374, 491, 652, 652, 1139, 1359, 2200, 2200, 2700, 3028, 4075, 5294, 6575, 7245, 8795, 9877, 10897, 11811, 12928, 14076, 14829}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 15, 15, 15, 15, 131, 131, 131, 131, 131, 1530, 1530, 1595}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 3, 4, 4, 11, 13, 14, 14, 27, 28, 41, 54, 75, 98, 120, 122, 153, 191, 231, 264, 300}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]"
"Entity[""AdministrativeDivision"", {""NewJersey"", ""UnitedStates""}]","Entity[""Country"", ""UnitedStates""]","GeoPosition[{40.18797225104717, -74.6814040911826}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 4, 5, 5, 15, 23, 29, 29, 69, 98, 178, 267, 267, 742, 890, 1327, 1914, 2844, 3675, 4402, 6876, 8825, 11124, 13386}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], 0, 0, 0, 0, 0, 0, 0}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 3, 3, 9, 11, 16, 20, 27, 44, 62, 81, 108, 140, 161}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 29, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 12.]"
